Name,Description,WKT,SSID,BSSID,City,County,ZIP,First_Seen,Last_Seen,Wigle_URL
Flock Camera - Dallas,"Flock Safety ALPR Camera
SSID: Flock-6235E1
BSSID: 00:F4:8D:62:35:E1
Location: Dallas, Dallas County
ZIP: 75218
Coordinates: 32.86431122, -96.69942474
First Seen: 2020-10-10T21:00:00.000Z
Last Seen: 2021-03-17T21:00:00.000Z",POINT(-96.69942474 32.86431122),Flock-6235E1,00:F4:8D:62:35:E1,Dallas,Dallas,75218,2020-10-10T21:00:00.000Z,2021-03-17T21:00:00.000Z,https://wigle.net/search?netid=00:F4:8D:62:35:E1
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-A4E321
BSSID: 3C:91:80:A4:E3:21
Location: Fort Worth, Tarrant County
ZIP: 76106
Coordinates: 32.8248024, -97.38930511
First Seen: 2020-09-30T15:00:00.000Z
Last Seen: 2020-09-30T19:00:00.000Z",POINT(-97.38930511 32.8248024),Flock-A4E321,3C:91:80:A4:E3:21,Fort Worth,Tarrant,76106,2020-09-30T15:00:00.000Z,2020-09-30T19:00:00.000Z,https://wigle.net/search?netid=3C:91:80:A4:E3:21
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-A4EDCD
BSSID: 3C:91:80:A4:ED:CD
Location: Fort Worth, Tarrant County
ZIP: 76106
Coordinates: 32.76968765, -97.35532379
First Seen: 2021-05-29T22:00:00.000Z
Last Seen: 2021-05-30T00:00:00.000Z",POINT(-97.35532379 32.76968765),Flock-A4EDCD,3C:91:80:A4:ED:CD,Fort Worth,Tarrant,76106,2021-05-29T22:00:00.000Z,2021-05-30T00:00:00.000Z,https://wigle.net/search?netid=3C:91:80:A4:ED:CD
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-BAE77B
BSSID: 3C:91:80:BA:E7:7B
Location: Fort Worth, Tarrant County
ZIP: 76179
Coordinates: 32.8809967, -97.3970871
First Seen: 2020-12-01T17:00:00.000Z
Last Seen: 2020-12-02T19:00:00.000Z",POINT(-97.3970871 32.8809967),Flock-BAE77B,3C:91:80:BA:E7:7B,Fort Worth,Tarrant,76179,2020-12-01T17:00:00.000Z,2020-12-02T19:00:00.000Z,https://wigle.net/search?netid=3C:91:80:BA:E7:7B
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-7ECD01
BSSID: 74:4C:A1:7E:CD:01
Location: Fort Worth, Tarrant County
ZIP: 76119
Coordinates: 32.70898819, -97.23110962
First Seen: 2021-11-13T15:00:00.000Z
Last Seen: 2021-12-15T18:00:00.000Z",POINT(-97.23110962 32.70898819),Flock-7ECD01,74:4C:A1:7E:CD:01,Fort Worth,Tarrant,76119,2021-11-13T15:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:7E:CD:01
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-8925EB
BSSID: 74:4C:A1:89:25:EB
Location: Fort Worth, Tarrant County
ZIP: 76119
Coordinates: 32.70510864, -97.23324585
First Seen: 2021-11-13T15:00:00.000Z
Last Seen: 2021-12-15T18:00:00.000Z",POINT(-97.23324585 32.70510864),Flock-8925EB,74:4C:A1:89:25:EB,Fort Worth,Tarrant,76119,2021-11-13T15:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:25:EB
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-89338B
BSSID: 74:4C:A1:89:33:8B
Location: Fort Worth, Tarrant County
ZIP: 76119
Coordinates: 32.71066666, -97.23018646
First Seen: 2021-12-14T16:00:00.000Z
Last Seen: 2021-12-15T18:00:00.000Z",POINT(-97.23018646 32.71066666),Flock-89338B,74:4C:A1:89:33:8B,Fort Worth,Tarrant,76119,2021-12-14T16:00:00.000Z,2021-12-15T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:33:8B
Flock Camera - Lewisville,"Flock Safety ALPR Camera
SSID: Flock-896153
BSSID: 74:4C:A1:89:61:53
Location: Lewisville, Denton County
ZIP: 75057
Coordinates: 32.99585342, -96.9931488
First Seen: 2022-02-25T16:00:00.000Z
Last Seen: 2022-02-25T15:00:00.000Z",POINT(-96.9931488 32.99585342),Flock-896153,74:4C:A1:89:61:53,Lewisville,Denton,75057,2022-02-25T16:00:00.000Z,2022-02-25T15:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:61:53
Flock Camera - Flower Mound,"Flock Safety ALPR Camera
SSID: Flock-89854B
BSSID: 74:4C:A1:89:85:4B
Location: Flower Mound, Denton County
ZIP: 75028
Coordinates: 33.0135498, -97.04974365
First Seen: 2022-03-10T19:00:00.000Z
Last Seen: 2022-03-10T18:00:00.000Z",POINT(-97.04974365 33.0135498),Flock-89854B,74:4C:A1:89:85:4B,Flower Mound,Denton,75028,2022-03-10T19:00:00.000Z,2022-03-10T18:00:00.000Z,https://wigle.net/search?netid=74:4C:A1:89:85:4B
Flock Camera - Krum,"Flock Safety ALPR Camera
SSID: Flock-4FEF77
BSSID: 9C:2F:9D:4F:EF:77
Location: Krum, Denton County
ZIP: 76226
Coordinates: 33.10456085, -97.14063263
First Seen: 2024-06-13T14:00:00.000Z
Last Seen: 2024-06-13T10:00:00.000Z",POINT(-97.14063263 33.10456085),Flock-4FEF77,9C:2F:9D:4F:EF:77,Krum,Denton,76226,2024-06-13T14:00:00.000Z,2024-06-13T10:00:00.000Z,https://wigle.net/search?netid=9C:2F:9D:4F:EF:77
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-625A19
BSSID: 9C:2F:9D:62:5A:19
Location: Fort Worth, Tarrant County
ZIP: 76135
Coordinates: 32.81547165, -97.41928101
First Seen: 2024-05-06T21:00:00.000Z
Last Seen: 2024-05-12T16:00:00.000Z",POINT(-97.41928101 32.81547165),Flock-625A19,9C:2F:9D:62:5A:19,Fort Worth,Tarrant,76135,2024-05-06T21:00:00.000Z,2024-05-12T16:00:00.000Z,https://wigle.net/search?netid=9C:2F:9D:62:5A:19
Flock Camera - Dallas,"Flock Safety ALPR Camera
SSID: Flock-324545
BSSID: B8:27:EB:32:45:45
Location: Dallas, Dallas County
ZIP: 75243
Coordinates: 32.91269302, -96.71796417
First Seen: 2020-05-03T13:00:00.000Z
Last Seen: 2020-05-03T15:00:00.000Z",POINT(-96.71796417 32.91269302),Flock-324545,B8:27:EB:32:45:45,Dallas,Dallas,75243,2020-05-03T13:00:00.000Z,2020-05-03T15:00:00.000Z,https://wigle.net/search?netid=B8:27:EB:32:45:45
Flock Camera - Crowley,"Flock Safety ALPR Camera
SSID: Flock-54E371
BSSID: D0:39:57:54:E3:71
Location: Crowley, Tarrant County
ZIP: 76034
Coordinates: 32.88135147, -97.09835052
First Seen: 2025-02-06T16:00:00.000Z
Last Seen: 2025-05-07T14:00:00.000Z",POINT(-97.09835052 32.88135147),Flock-54E371,D0:39:57:54:E3:71,Crowley,Tarrant,76034,2025-02-06T16:00:00.000Z,2025-05-07T14:00:00.000Z,https://wigle.net/search?netid=D0:39:57:54:E3:71
Flock Camera - Plano,"Flock Safety ALPR Camera
SSID: Flock-3D1499
BSSID: D8:F3:BC:3D:14:99
Location: Plano, Collin County
ZIP: 75093
Coordinates: 33.05674744, -96.816185
First Seen: 2021-12-17T19:00:00.000Z
Last Seen: 2021-12-17T17:00:00.000Z",POINT(-96.816185 33.05674744),Flock-3D1499,D8:F3:BC:3D:14:99,Plano,Collin,75093,2021-12-17T19:00:00.000Z,2021-12-17T17:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:14:99
Flock Camera - Arlington,"Flock Safety ALPR Camera
SSID: Flock-3D156D
BSSID: D8:F3:BC:3D:15:6D
Location: Arlington, Tarrant County
ZIP: 76002
Coordinates: 32.60771561, -97.11692047
First Seen: 2022-06-28T20:00:00.000Z
Last Seen: 2022-06-28T18:00:00.000Z",POINT(-97.11692047 32.60771561),Flock-3D156D,D8:F3:BC:3D:15:6D,Arlington,Tarrant,76002,2022-06-28T20:00:00.000Z,2022-06-28T18:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:15:6D
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-3D166F
BSSID: D8:F3:BC:3D:16:6F
Location: Fort Worth, Tarrant County
ZIP: 76137
Coordinates: 32.79760742, -97.29066467
First Seen: 2021-11-29T22:00:00.000Z
Last Seen: 2021-11-29T20:00:00.000Z",POINT(-97.29066467 32.79760742),Flock-3D166F,D8:F3:BC:3D:16:6F,Fort Worth,Tarrant,76137,2021-11-29T22:00:00.000Z,2021-11-29T20:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:16:6F
Flock Camera - Fort Worth,"Flock Safety ALPR Camera
SSID: Flock-3D2459
BSSID: D8:F3:BC:3D:24:59
Location: Fort Worth, Tarrant County
ZIP: 76114
Coordinates: 32.78472519, -97.38305664
First Seen: 2022-01-10T18:00:00.000Z
Last Seen: 2022-01-11T04:00:00.000Z",POINT(-97.38305664 32.78472519),Flock-3D2459,D8:F3:BC:3D:24:59,Fort Worth,Tarrant,76114,2022-01-10T18:00:00.000Z,2022-01-11T04:00:00.000Z,https://wigle.net/search?netid=D8:F3:BC:3D:24:59
Flock Camera - Lewisville,"Flock Safety ALPR Camera
SSID: Flock-564F25
BSSID: E4:AA:EA:56:4F:25
Location: Lewisville, Denton County
ZIP: 75057
Coordinates: 33.01314545, -96.99291992
First Seen: 2021-05-16T12:00:00.000Z
Last Seen: 2021-05-16T12:00:00.000Z",POINT(-96.99291992 33.01314545),Flock-564F25,E4:AA:EA:56:4F:25,Lewisville,Denton,75057,2021-05-16T12:00:00.000Z,2021-05-16T12:00:00.000Z,https://wigle.net/search?netid=E4:AA:EA:56:4F:25
Flock Camera - Grapevine,"Flock Safety ALPR Camera
SSID: Flock-5762B5
BSSID: F4:6A:DD:57:62:B5
Location: Grapevine, Tarrant County
ZIP: 76051
Coordinates: 32.93030167, -97.09542847
First Seen: 2025-07-31T19:00:00.000Z
Last Seen: 2025-07-31T14:00:00.000Z",POINT(-97.09542847 32.93030167),Flock-5762B5,F4:6A:DD:57:62:B5,Grapevine,Tarrant,76051,2025-07-31T19:00:00.000Z,2025-07-31T14:00:00.000Z,https://wigle.net/search?netid=F4:6A:DD:57:62:B5
